Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 меисебокарм и меивалсоварп уджем йокзявс;теапутсыв; связкой между православием и мракобесием ; выступает ;  ;статистика.  ;Георгий Любарский. Мракобесие, или Наших бьют // «Эксперт», 2013 ;Георгий Любарский ; ;Мракобесие, или Наших бьют ;2013 ;публицистика, нехудожественная ;статья ;социология, религия ;«Эксперт» ;2013 ;журнал ;омонимия не снята;  Логической связкой между православием и мракобесием выступает статистика.  [Георгий Любарский. Мракобесие, или Наших бьют // «Эксперт», 2013] [омонимия не снята]
 акитситатс адгок мяицаутис к окандО;теапутсыв; Однако к ситуациям, когда статистика ; выступает ;  ;в качестве логической связки, правильнее ;Георгий Любарский. Мракобесие, или Наших бьют // «Эксперт», 2013 ;Георгий Любарский ; ;Мракобесие, или Наших бьют ;2013 ;публицистика, нехудожественная ;статья ;социология, религия ;«Эксперт» ;2013 ;журнал ;омонимия не снята;  Однако к ситуациям, когда статистика выступает в качестве логической связки, правильнее будет относиться с подозрением.  [Георгий Любарский. Мракобесие, или Наших бьют // «Эксперт», 2013] [омонимия не снята]
 отч ястинсяыв еитяноп еоннаворизиголоеди и;еищюапутсыв; и идеологизированное понятие, выяснится, что ; выступающие ;  ;против мракобесия очень различны меж ;Георгий Любарский. Мракобесие, или Наших бьют // «Эксперт», 2013 ;Георгий Любарский ; ;Мракобесие, или Наших бьют ;2013 ;публицистика, нехудожественная ;статья ;социология, религия ;«Эксперт» ;2013 ;журнал ;омонимия не снята;  Проще говоря, если убрать нечестно выстроенное и идеологизированное понятие, выяснится, что выступающие против мракобесия очень различны меж собой, предельно различны.  [Георгий Любарский. Мракобесие, или Наших бьют // «Эксперт», 2013] [омонимия не снята]
 межакс автсечызя огокснявалс икинноротС ;еищюапутсыв;  Сторонники славянского язычества, скажем, ; выступающие ;  ;именно против православия, за Род ;Георгий Любарский. Мракобесие, или Наших бьют // «Эксперт», 2013 ;Георгий Любарский ; ;Мракобесие, или Наших бьют ;2013 ;публицистика, нехудожественная ;статья ;социология, религия ;«Эксперт» ;2013 ;журнал ;омонимия не снята; Сторонники славянского язычества, скажем, выступающие именно против православия, за Род и Кровь, ― это одно.  [Георгий Любарский. Мракобесие, или Наших бьют // «Эксперт», 2013] [омонимия не снята]
 ыботч шорох ончотатсоден еще ьневору;ьтапутсыв; уровень еще недостаточно хорош, чтобы ; выступать ;  ;в шоу.  ;Соня Ляшкевич. Философия Мотофристайла // «Русский репортер», 2013 ;Соня Ляшкевич ; ;Философия Мотофристайла ;2013 ;публицистика, нехудожественная ;статья ;спорт ;«Русский репортер» ;2013 ;журнал ;омонимия не снята;  Несмотря на очевидный прогресс участников, их уровень еще недостаточно хорош, чтобы выступать в шоу.  [Соня Ляшкевич. Философия Мотофристайла // «Русский репортер», 2013] [омонимия не снята]
 ончыбо иимедака йицкес йинеледто вотутитсни;тюапутсыв; институтов, отделений, секций академии обычно ; выступают ;  ;как непререкаемые аргументы или священные ;Георгий Малинецкий. От прошлого к будущему. Российский контекст междисциплинарности // «Знание-сила», 2013 ;Георгий Малинецкий ;1956 ;От прошлого к будущему. Российский контекст междисциплинарности ;2013 ;публицистика, нехудожественная ;статья ;наука и технологии, математика, биология ;«Знание-сила» ;2013 ;журнал ;омонимия не снята; Да и до сих пор «корпоративные интересы» институтов, отделений, секций академии обычно выступают как непререкаемые аргументы или священные коровы Российской Академии наук.  [Георгий Малинецкий. От прошлого к будущему. Российский контекст междисциплинарности // «Знание-сила», 2013] [омонимия не снята]
 меинелвиторпос миксечирткелэ йеизуффид юьтсондоворполпет юьтсокзяв;теапутсыв; вязкостью, теплопроводностью, диффузией, электрическим сопротивлением) ; выступает ;  ;в качестве «архитектора» возникающей упорядоченности ;Георгий Малинецкий. От прошлого к будущему. Российский контекст междисциплинарности // «Знание-сила», 2013 ;Георгий Малинецкий ;1956 ;От прошлого к будущему. Российский контекст междисциплинарности ;2013 ;публицистика, нехудожественная ;статья ;наука и технологии, математика, биология ;«Знание-сила» ;2013 ;журнал ;омонимия не снята; На макроскопическом уровне, как показали работы Брюссельской научной школы, которую в течение многих лет возглавлял И. Пригожин, в нелинейных, далеких от равновесия системах рассеяние энергии (связанное с вязкостью, теплопроводностью, диффузией, электрическим сопротивлением) выступает в качестве «архитектора» возникающей упорядоченности.  [Георгий Малинецкий. От прошлого к будущему. Российский контекст междисциплинарности // «Знание-сила», 2013] [омонимия не снята]
 адог 0991 с тсилаускесомог йытыркто;теапутсыв; открытый гомосексуалист с 1990 года, ; выступает ;  ;за права сексуальных и гендерных ;Ульяна Малышева. Галерея. Суперстарцы // «Огонек», 2013 ;Ульяна Малышева ; ;Галерея. Суперстарцы ;2013 ;публицистика, нехудожественная ;заметка ;искусство и культура, досуг, зрелища и развлечения ;«Огонек» ;2013 ;журнал ;омонимия не снята; Так же активно британский рыцарь, открытый гомосексуалист с 1990 года, выступает за права сексуальных и гендерных меньшинств не только на территории родной Британии, но и даже в России.  [Ульяна Малышева. Галерея. Суперстарцы // «Огонек», 2013] [омонимия не снята]
 ежу йыроток окьлоВ мороткиВ моцвеп;лапутсыв; певцом Виктором Волько, который уже ; выступал ;  ;во время первой и второй ;Александра Маринина. Последний рассвет (2013) ;Александра Маринина ;1957 ;Последний рассвет ;2013 ;художественная ;роман ; ;Александра Маринина. Последний рассвет. Т. 1 ;2013 ;книга ;омонимия не снята;  Он на несколько минут отвлекся на разговор со знакомым банкиром, а когда снова поискал глазами Евгению, та стояла посреди огромного зала и о чем-то оживленно разговаривала с известным певцом Виктором Волько, который уже выступал во время первой и второй частей банкета, а после перерыва, как было объявлено, будет петь снова.  [Александра Маринина. Последний рассвет (2013)] [омонимия не снята]
 котобарирп йындилос тел хигонм еинечет;яапутсыв; течение многих лет солидный приработок, ; выступая ;  ;в качестве уникального эксперта по ;Александра Маринина. Последний рассвет (2013) ;Александра Маринина ;1957 ;Последний рассвет ;2013 ;художественная ;роман ; ;Александра Маринина. Последний рассвет. Т. 1 ;2013 ;книга ;омонимия не снята; Коллекционеров Сотников не особо жаловал, хотя и понимал, что благодаря именно этой категории людей имел в течение многих лет солидный приработок, выступая в качестве уникального эксперта по изделиям Дома Сотникова, знаменитого ювелирного предприятия, основанного еще в самом конце восемнадцатого века.  [Александра Маринина. Последний рассвет (2013)] [омонимия не снята]
 оидар оп и теад юьвретни;теапутсыв; интервью дает и по радио ; выступает ;,  ;да и по телевизору я ;Александра Маринина. Последний рассвет (2013) ;Александра Маринина ;1957 ;Последний рассвет ;2013 ;художественная ;роман ; ;Александра Маринина. Последний рассвет. Т. 1 ;2013 ;книга ;омонимия не снята; – Он часто интервью дает и по радио выступает, да и по телевизору я его видел в каких-то ток-шоу про проблемы детства, материнства и семьи.  [Александра Маринина. Последний рассвет (2013)] [омонимия не снята]
 мат йыроток цевеп отэ аД;лапутсыв; Да это певец, который там ; выступал ;.  ; Вы ж понимаете… Женя наша ;Александра Маринина. Последний рассвет (2013) ;Александра Маринина ;1957 ;Последний рассвет ;2013 ;художественная ;роман ; ;Александра Маринина. Последний рассвет. Т. 1 ;2013 ;книга ;омонимия не снята; – спросил Колосенцев как бы между прочим, будто бы отлично зная, кто это такой.   – Да это певец, который там выступал.  Вы ж понимаете… Женя наша, конечно, простота необыкновенная, перекинулась парой слов с Волько и потом весь вечер только об этом и трещала, дескать, какой он милый человек, какой обаятельный, какой приятный.  [Александра Маринина. Последний рассвет (2013)] [омонимия не снята]
 ыдалкод и ытарефер ливотог оннемервондо;лапутсыв; одновременно, готовил рефераты и доклады, ; выступал ;  ;на слушательских научных конференциях.  ;Александра Маринина. Последний рассвет (2013) ;Александра Маринина ;1957 ;Последний рассвет ;2013 ;художественная ;роман ; ;Александра Маринина. Последний рассвет. Т. 1 ;2013 ;книга ;омонимия не снята; И еще занимался в нескольких научных кружках одновременно, готовил рефераты и доклады, выступал на слушательских научных конференциях.  [Александра Маринина. Последний рассвет (2013)] [омонимия не снята]
 тиотсдерп уме едг елаз в;ьтапутсыв; в зале, где ему предстоит ; выступать ;  ;через два дня.  ;Александра Маринина. Последний рассвет (2013) ;Александра Маринина ;1957 ;Последний рассвет ;2013 ;художественная ;роман ; ;Александра Маринина. Последний рассвет. Т. 1 ;2013 ;книга ;омонимия не снята;  – Только я очень вас прошу – недолго, Виктор Семенович должен ехать проверять акустику в зале, где ему предстоит выступать через два дня.  [Александра Маринина. Последний рассвет (2013)] [омонимия не снята]
 и еще он ичадаз еывоснаниф;лапутсыв; финансовые задачи, но еще и ; выступал ;  ;в качестве наводчика для преступников ;Александра Маринина. Последний рассвет (2013) ;Александра Маринина ;1957 ;Последний рассвет ;2013 ;художественная ;роман ; ;Александра Маринина. Последний рассвет. Т. 1 ;2013 ;книга ;омонимия не снята; Более того, у сыщиков были все основания полагать, что Цаплин решал не только собственные финансовые задачи, но еще и выступал в качестве наводчика для преступников, имеющих несколько иную специализацию.  [Александра Маринина. Последний рассвет (2013)] [омонимия не снята]
 а акледдоп отэ отч ланз;лапутсыв; знал, что это подделка, а ; выступал ;  ;только в качестве посредника, то ;Александра Маринина. Последний рассвет (2013) ;Александра Маринина ;1957 ;Последний рассвет ;2013 ;художественная ;роман ; ;Александра Маринина. Последний рассвет. Т. 1 ;2013 ;книга ;омонимия не снята; Даже если он сам не знал, что это подделка, а выступал только в качестве посредника, то круг его общения… В общем, далек от идеала.  [Александра Маринина. Последний рассвет (2013)] [омонимия не снята]
 корги йикен тевто лад ниудеБ;йишвапутсыв; Бедуин дал ответ: некий игрок, ; выступавший ;  ;под ником Телескоп, действительно начал ;Александра Маринина. Последний рассвет (2013) ;Александра Маринина ;1957 ;Последний рассвет ;2013 ;художественная ;роман ; ;Александра Маринина. Последний рассвет. Т. 1 ;2013 ;книга ;омонимия не снята;  Около трех часов ночи Бедуин дал ответ: некий игрок, выступавший под ником Телескоп, действительно начал играть примерно за месяц до убийства Колосенцева, причем играл каждый день без перерыва, и со дня его смерти ни разу больше на сервере не появился.  [Александра Маринина. Последний рассвет (2013)] [омонимия не снята]
 цевеп адгоК ;теапутсыв;  Когда певец ; выступает ;  ;в концертных залах, он никого ;Александра Маринина. Последний рассвет (2013) ;Александра Маринина ;1957 ;Последний рассвет ;2013 ;художественная ;роман ; ;Александра Маринина. Последний рассвет. Т. 1 ;2013 ;книга ;омонимия не снята; Когда певец выступает в концертных залах, он никого не увидит.  [Александра Маринина. Последний рассвет (2013)] [омонимия не снята]
 юледен юуджак куан иимедакА амуидизерП;тюапутсыв; Президиума Академии наук каждую неделю ; выступают ;  ;представители разных научных направлений с ;Дан Медовников, Александр Механик. Свобода науки как государственная необходимость // «Эксперт», 2013 ;Дан Медовников, Александр Механик ;1969, 1947 ;Свобода науки как государственная необходимость ;2013 ;публицистика, нехудожественная ;интервью ;наука и технологии, образование, бизнес, коммерция, экономика, финансы ;«Эксперт» ;2013 ;журнал ;омонимия не снята; Например, на заседаниях Президиума Академии наук каждую неделю выступают представители разных научных направлений с научными докладами.  [Дан Медовников, Александр Механик. Свобода науки как государственная необходимость // «Эксперт», 2013] [омонимия не снята]
 иксечитаметсис оидар оп и хатезаг;тюапутсыв; газетах и по радио систематически ; выступают ;  ;различные специалисты по русскому языку ;И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013) ;И. Г. Милославский ;1938 ;Говорим правильно по смыслу или по форме? ;2013 ;учебно-научная, нехудожественная ; ;наука и технологии, филология ;И. Г. Милославский. Говорим правильно по смыслу или по форме? ;2013 ;книга ;омонимия не снята;  В газетах и по радио систематически выступают различные специалисты по русскому языку… Темы этих выступлений самые разные, однако можно выделить три основных.  [И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013)] [омонимия не снята]
 ьтсоньлетивтсйед юуньлаер ьтажарто акызя ьтсонбосопс;теапутсыв; способность языка отражать реальную действительность ; выступает ;  ;смыслом и оправданием самого существования ;И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013) ;И. Г. Милославский ;1938 ;Говорим правильно по смыслу или по форме? ;2013 ;учебно-научная, нехудожественная ; ;наука и технологии, филология ;И. Г. Милославский. Говорим правильно по смыслу или по форме? ;2013 ;книга ;омонимия не снята; Выбранный угол зрения базируется на мысли, что именно способность языка отражать реальную действительность выступает смыслом и оправданием самого существования языка.  [И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013)] [омонимия не снята]
 имыньлетитчопдерп еелоб умотэоП ;тюапутсыв;  Поэтому более предпочтительными ; выступают ;  ;толкования, состоящие из простейших по ;И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013) ;И. Г. Милославский ;1938 ;Говорим правильно по смыслу или по форме? ;2013 ;учебно-научная, нехудожественная ; ;наука и технологии, филология ;И. Г. Милославский. Говорим правильно по смыслу или по форме? ;2013 ;книга ;омонимия не снята; Поэтому более предпочтительными выступают толкования, состоящие из простейших по значению слов, соединенных между собой.  [И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013)] [омонимия не снята]
 ежу еачулс мотэ в ьтилиП ;теапутсыв;  Пилить в этом случае уже ; выступает ;  ;в группе глаголов, обозначающих разнообразные ;И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013) ;И. Г. Милославский ;1938 ;Говорим правильно по смыслу или по форме? ;2013 ;учебно-научная, нехудожественная ; ;наука и технологии, филология ;И. Г. Милославский. Говорим правильно по смыслу или по форме? ;2013 ;книга ;омонимия не снята;  в этом случае уже выступает в группе глаголов, обозначающих разнообразные по сути и по форме осуждения других людей: , , , , , , , .  [И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013)] [омонимия не снята]
 вокинтсачу моватсос микак с и;лапутсыв; и с каким составом участников ; выступал ;  ;шахматист, какие места занял, успешно ;И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013) ;И. Г. Милославский ;1938 ;Говорим правильно по смыслу или по форме? ;2013 ;учебно-научная, нехудожественная ; ;наука и технологии, филология ;И. Г. Милославский. Говорим правильно по смыслу или по форме? ;2013 ;книга ;омонимия не снята; Он отражает то, во многих ли турнирах и с каким составом участников выступал шахматист, какие места занял, успешно ли играл против победителей и призеров и т.  [И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013)] [омонимия не снята]
 хаволог хыротокен в ихурзар йокат;теапутсыв; такой «разрухи в некоторых головах» ; выступает ;  ;язык рекламы.  ;И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013) ;И. Г. Милославский ;1938 ;Говорим правильно по смыслу или по форме? ;2013 ;учебно-научная, нехудожественная ; ;наука и технологии, филология ;И. Г. Милославский. Говорим правильно по смыслу или по форме? ;2013 ;книга ;омонимия не снята;  Можно предполагать, что одной из причин такой «разрухи в некоторых головах» выступает язык рекламы.  [И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013)] [омонимия не снята]
 ежу яигеливирп яянделсоп илсе мечирП;теапутсыв; Причем если последняя привилегия уже ; выступает ;  ;в денежной форме, то о ;И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013) ;И. Г. Милославский ;1938 ;Говорим правильно по смыслу или по форме? ;2013 ;учебно-научная, нехудожественная ; ;наука и технологии, филология ;И. Г. Милославский. Говорим правильно по смыслу или по форме? ;2013 ;книга ;омонимия не снята; Причем если последняя привилегия уже выступает в денежной форме, то о монетизации двух первых для тех, кто таковые имеет, кажется, речь не идет.  [И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013)] [омонимия не снята]
 тежом екызя мокссур в ыробыв оволС;ьтапутсыв; Слово выборы в русском языке может ; выступать ;  ;и как обычное слово с ;И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013) ;И. Г. Милославский ;1938 ;Говорим правильно по смыслу или по форме? ;2013 ;учебно-научная, нехудожественная ; ;наука и технологии, филология ;И. Г. Милославский. Говорим правильно по смыслу или по форме? ;2013 ;книга ;омонимия не снята;  Слово  в русском языке может выступать и как обычное слово с характерной для обычных слов многозначностью и некоторой семантической неопределенностью.  [И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013)] [омонимия не снята]
 ;яапутсыВ;  ; Выступая ;  ;в связи с жарой и ;И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013) ;И. Г. Милославский ;1938 ;Говорим правильно по смыслу или по форме? ;2013 ;учебно-научная, нехудожественная ; ;наука и технологии, филология ;И. Г. Милославский. Говорим правильно по смыслу или по форме? ;2013 ;книга ;омонимия не снята; Выступая в связи с жарой и задымлениями летом 2010 года, Юрий Лужков, призвал москвичей  .  [И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013)] [омонимия не снята]
 ен малси едив меовс мотсич;теапутсыв; чистом своем виде ислам не ; выступает ;  ;против модерна.  ;Геворг Мирзаян. По пути Хомейни // «Эксперт», 2013 ;Геворг Мирзаян ; ;По пути Хомейни ;2013 ;публицистика, нехудожественная ;статья ;политика и общественная жизнь, религия ;«Эксперт» ;2013 ;журнал ;омонимия не снята; Ведь в чистом своем виде ислам не выступает против модерна.  [Геворг Мирзаян. По пути Хомейни // «Эксперт», 2013] [омонимия не снята]
 еыньлатсо есВ ;илапутсыв;  Все остальные ; выступали ;  ;либо с ярой критикой, как ;Геворг Мирзаян. По пути Хомейни // «Эксперт», 2013 ;Геворг Мирзаян ; ;По пути Хомейни ;2013 ;публицистика, нехудожественная ;статья ;политика и общественная жизнь, религия ;«Эксперт» ;2013 ;журнал ;омонимия не снята; Все остальные выступали либо с ярой критикой, как аятолла Хомейни или аятолла Бехешти, либо с мягкой.  [Геворг Мирзаян. По пути Хомейни // «Эксперт», 2013] [омонимия не снята]
 хататШ в воринрут окьлоксен ларгыс;лапутсыв; сыграл несколько турниров в Штатах, ; выступал ;  ;в Европе, занял 70-е ;Егор Мостовщиков. Последний гроссмейстер Ирландии // «Русский репортер», 2013 ;Егор Мостовщиков ; ;Последний гроссмейстер Ирландии ;2013 ;публицистика, нехудожественная ;статья ;спорт ;«Русский репортер» ;2013 ;журнал ;омонимия не снята; На 1995-1998-е пришелся пик его спортивной карьеры: Бабурин сыграл несколько турниров в Штатах, выступал в Европе, занял 70-е место в мировом рейтинге ФИДЕ и стал первым в Ирландии.  [Егор Мостовщиков. Последний гроссмейстер Ирландии // «Русский репортер», 2013] [омонимия не снята]
 мат но и инсеп срукнок;ьтапутсыв; конкурс песни и он там ; выступать ;  ;должен.  ;Алексей Моторов. Преступление доктора Паровозова (2013) ;Алексей Моторов ;1963 ;Преступление доктора Паровозова ;2013 ;художественная ;роман ; ;Алексей Моторов. Преступление доктора Паровозова ;2014 ;книга ;омонимия не снята; Ну а Вовка меня не встречает, так как начался конкурс песни и он там выступать должен.  [Алексей Моторов. Преступление доктора Паровозова (2013)] [омонимия не снята]
 оншартс ен олыб имыроток с;ьтапутсыв; с которыми было не страшно ; выступать ;  ;в присутствии комиссии, что, по ;Алексей Моторов. Преступление доктора Паровозова (2013) ;Алексей Моторов ;1963 ;Преступление доктора Паровозова ;2013 ;художественная ;роман ; ;Алексей Моторов. Преступление доктора Паровозова ;2014 ;книга ;омонимия не снята;* * *   К нашему первому концерту мы успели разучить пяток популярных детских песен, с которыми было не страшно выступать в присутствии комиссии, что, по всем оперативным сведениям, должна была нагрянуть в лагерь.  [Алексей Моторов. Преступление доктора Паровозова (2013)] [омонимия не снята]
 онневтсетсе мокищвонатсоп морессижеР ;лапутсыв;  Режиссером-постановщиком, естественно, ; выступал ;  ;Володя Чубаровский, а ассистентами режиссера ;Алексей Моторов. Преступление доктора Паровозова (2013) ;Алексей Моторов ;1963 ;Преступление доктора Паровозова ;2013 ;художественная ;роман ; ;Алексей Моторов. Преступление доктора Паровозова ;2014 ;книга ;омонимия не снята; Режиссером-постановщиком, естественно, выступал Володя Чубаровский, а ассистентами режиссера были назначены два Шурика, Беляев и Балаган.  [Алексей Моторов. Преступление доктора Паровозова (2013)] [омонимия не снята]
 тедуб кинйовд оге хакинжуЛ в;ьтапутсыв; в «Лужниках» его двойник будет ; выступать ;.  ; ;Алексей Моторов. Преступление доктора Паровозова (2013) ;Алексей Моторов ;1963 ;Преступление доктора Паровозова ;2013 ;художественная ;роман ; ;Алексей Моторов. Преступление доктора Паровозова ;2014 ;книга ;омонимия не снята; Бомбу-то нашли, а вместо Брежнева в «Лужниках» его двойник будет выступать.  [Алексей Моторов. Преступление доктора Паровозова (2013)] [омонимия не снята]
 тедуб едг моксйипмилО в трецнок;ьтапутсыв; концерт в «Олимпийском», где будет ; выступать ;  ;модный певец Филипп Киркоров и ;Алексей Моторов. Преступление доктора Паровозова (2013) ;Алексей Моторов ;1963 ;Преступление доктора Паровозова ;2013 ;художественная ;роман ; ;Алексей Моторов. Преступление доктора Паровозова ;2014 ;книга ;омонимия не снята;  Он сообщил, что приедет в Москву в пятницу на концерт в «Олимпийском», где будет выступать модный певец Филипп Киркоров и другие популярные молодые исполнители.  [Алексей Моторов. Преступление доктора Паровозова (2013)] [омонимия не снята]
 акичдовереп евтсечак В ;лапутсыв;  В качестве переводчика ; выступал ;  ;ее муж, серьезный мужчина в ;Алексей Моторов. Преступление доктора Паровозова (2013) ;Алексей Моторов ;1963 ;Преступление доктора Паровозова ;2013 ;художественная ;роман ; ;Алексей Моторов. Преступление доктора Паровозова ;2014 ;книга ;омонимия не снята; В качестве переводчика выступал ее муж, серьезный мужчина в дорогих костюмах.  [Алексей Моторов. Преступление доктора Паровозова (2013)] [омонимия не снята]
 дярто шаН ;лапутсыв;   Наш отряд ; выступал ;  ;где-то ближе к концу.  ;Алексей Моторов. Преступление доктора Паровозова (2013) ;Алексей Моторов ;1963 ;Преступление доктора Паровозова ;2013 ;художественная ;роман ; ;Алексей Моторов. Преступление доктора Паровозова ;2014 ;книга ;омонимия не снята;  Наш отряд выступал где-то ближе к концу.  [Алексей Моторов. Преступление доктора Паровозова (2013)] [омонимия не снята]
 мотоиртап микссур мынвалг мымаС ;теапутсыв;  Самым главным русским патриотом ; выступает ;  ;рябой косорукий грузин, который русский ;Алексей Моторов. Преступление доктора Паровозова (2013) ;Алексей Моторов ;1963 ;Преступление доктора Паровозова ;2013 ;художественная ;роман ; ;Алексей Моторов. Преступление доктора Паровозова ;2014 ;книга ;омонимия не снята; Самым главным русским патриотом выступает рябой косорукий грузин, который русский народ выкашивал миллионами.  [Алексей Моторов. Преступление доктора Паровозова (2013)] [омонимия не снята]
 морессижер хывреп-оВ ;теапутсыв;  Во-первых, режиссером ; выступает ;  ;бывший киевлянин Вадим Перельман, давно ;Вадим Нестеров. Жареным пропахло // «Огонек», 2013 ;Вадим Нестеров ; ;Жареным пропахло ;2013 ;публицистика, нехудожественная ;статья ;досуг, зрелища и развлечения ;«Огонек» ;2013 ;журнал ;омонимия не снята; Во-первых, режиссером выступает бывший киевлянин Вадим Перельман, давно обосновавшийся в Голливуде и трижды номинировавшийся на «Оскар», во-вторых, автор сценария ― скандально известный блогер Эдуард Багиров, ну и главное ― суперзвездный актерский состав.  [Вадим Нестеров. Жареным пропахло // «Огонек», 2013] [омонимия не снята]
 ьседз имяорег имынвалг и итсевоп;тюапутсыв; повести, и главными героями здесь ; выступают ;  ;уже дети советских пионеров из ;Вадим Нестеров. Жареным пропахло // «Огонек», 2013 ;Вадим Нестеров ; ;Жареным пропахло ;2013 ;публицистика, нехудожественная ;статья ;досуг, зрелища и развлечения ;«Огонек» ;2013 ;журнал ;омонимия не снята; Авторы сценария Роман Волобуев и Михаил Шприц во главе с продюсером проекта Юсупом Бахшиевым перенесли действие в наши дни, сделали сериал прямым продолжением повести, и главными героями здесь выступают уже дети советских пионеров из «Главного полдня».  [Вадим Нестеров. Жареным пропахло // «Огонек», 2013] [омонимия не снята]
 я йороток ан юицнерефнок ан;лапутсыв; на конференцию, на которой я ; выступал ;.  ; ;Алексей Лобанов, Наталья Николаева. Алексей Лобанов: «Интересно себя попробовать» // «За науку», 2013 ;Алексей Лобанов, Наталья Николаева ; ;Алексей Лобанов: «Интересно себя попробовать» ;2013 ;публицистика, нехудожественная ;интервью ;образование ;«За науку» ;2013 ;журнал ;омонимия не снята;  ― Когда в Нальчике строился кластер, преподавателей кафедры информатики МФТИ приглашали на конференцию, на которой я выступал.  [Алексей Лобанов, Наталья Николаева. Алексей Лобанов: «Интересно себя попробовать» // «За науку», 2013] [омонимия не снята]
